COMPANY NAME,INDIA GLYCOLS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,768,,,,,,,,,
Market Capitalization,2382.73,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2976.57,2579.49,2324.22,2499.57,3034.32,3356.6,2735.46,2316.99,2868.31,2650.86
Raw Material Cost,1950.55,1594.3,1505.44,1486.25,1830.87,1913.88,1673.94,1354.14,1811.5,1338.44
Change in Inventory,-10.32,-43.78,38.96,15.8,-40.62,11.11,-26.64,14.7,96.89,22.56
Power and Fuel,348.26,335.94,301.6,288.99,335.55,410.41,250.34,213.93,332.08,417.47
Other Mfr. Exp,221.12,206.92,90.58,225.86,232.36,301.18,221.62,239.3,294.93,354.01
Employee Cost,86.9,92.26,88.49,96.15,97.16,101.05,93.51,83.69,89.46,89.16
Selling and admin,105.41,125.09,185.44,177.41,173.18,186.69,128.09,130.29,155.76,137.22
Other Expenses,51.04,56.95,16.77,4.16,2.19,38.52,38.37,19.11,12.52,32.28
Other Income,-173.65,-16.04,-47.31,7.16,23,16.86,24.01,15.15,260.28,54.09
Depreciation,90.61,88.78,69.48,72.04,73.1,76.24,77.53,80.12,80.29,93.96
Interest,150.34,163.39,139.24,126.68,125.14,143.48,96.9,83.38,69.66,99.96
Profit before tax,-211.63,-143.96,-81.17,44.99,147.15,213.12,152.53,142.88,379.28,165.01
Tax,-50.27,-55.32,-24.36,9.95,50.63,80.51,37.87,11.28,39.43,23.96
Net profit,-161.36,-88.64,-56.81,35.04,96.53,132.61,114.66,131.61,339.85,125.08
Dividend Amount,3.1,,,3.1,12.38,18.58,18.58,18.58,23.22,23.22
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,780.13,795.05,642.46,808.06,669.76,553.7,619.34,689.01,774.6,904.22
Expenses,714,740.54,562.84,745.53,601.92,486.9,523.33,589,679.09,801.96
Other Income,17.17,13.69,-8.76,15.56,9.28,35.12,5.78,11.82,11.6,9.28
Depreciation,19.66,20,20.63,21.35,21.45,21.44,29.72,20.53,27.96,26.24
Interest,16.72,16.86,18.41,22.06,24.25,27.22,26.43,27.58,29.05,31.41
Profit before tax,46.92,31.34,31.82,34.68,31.42,53.26,45.64,63.72,50.1,53.89
Tax,9.64,7.33,-35.26,7.09,7.84,3.23,5.8,12.58,12.09,12.26
Net profit,37.28,24.01,67.08,29.02,25.01,30.73,40.32,51.14,38.01,41.63
Operating Profit,66.13,54.51,79.62,62.53,67.84,66.8,96.01,100.01,95.51,102.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,30.96,30.96,30.96,30.96,30.96,30.96,30.96,30.96,30.96,30.96
Reserves,341.49,266.09,687.21,721.37,814.18,931.67,1002.9,1137.56,1760.94,1870.46
Borrowings,2052.76,2264.49,1235.87,1095.18,834.05,1000.28,999.24,1136.78,1041.65,1112.27
Other Liabilities,817.64,592.87,1665.47,1644.74,1742.3,1821.41,2053.14,1813.94,1797.12,1844.64
Total,3242.85,3154.41,3619.51,3492.25,3421.49,3784.32,4086.24,4119.24,4630.67,4858.33
Net Block,1309.48,1145.92,2028.9,2110.9,2156.43,2172.89,2228.48,2192.59,2317.98,2716.88
Capital Work in Progress,137.43,161.87,181.17,91.36,89.44,137.4,171.71,125.77,243.18,124.75
Investments,4.14,4,27.74,25.15,24.06,21.39,26.35,27.07,335.95,318.47
Other Assets,1791.8,1842.62,1381.7,1264.84,1151.56,1452.64,1659.7,1773.81,1733.56,1698.23
Total,3242.85,3154.41,3619.51,3492.25,3421.49,3784.32,4086.24,4119.24,4630.67,4858.33
Receivables,440.61,437.2,363.57,390.41,333.68,322.02,568.72,361.72,398.68,430.34
Inventory,586.75,487.09,515.65,518.04,447.82,647.04,682.19,609.75,692.99,753.83
Cash & Bank,164.47,161.92,37.98,29.43,58.87,115.5,91.71,97.54,101.72,113.27
No. of Equity Shares,30961500,30961500,30961500,30961500,30961500,30961500,30961500,30961500,30961500,30961500
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-233.87,-171.03,1230.65,302.07,501.74,147.07,343.26,137.33,116.04,325.71
Cash from Investing Activity,109.59,174.59,-78.33,-40.12,-102.81,-128.14,-150.91,-148.33,76.45,-330.28
Cash from Financing Activity,86.59,-3.8,-1167.6,-262.86,-399.4,3.01,-215.67,10.75,-188.83,-0.51
Net Cash Flow,-37.69,-0.24,-15.28,-0.92,-0.47,21.94,-23.32,-0.26,3.66,-5.07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,94.25,81.45,84.35,159.85,452.15,278.65,212.85,416.9,1010.2,614.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
